dataset	min_token_freq	vocab_size	vocab_used	layer_size	num_params	method	run	CIDEr	Bleu_1	Bleu_2	Bleu_3	Bleu_4	METEOR	ROUGE_L
flickr8k	3	3478	399	128	1995030	merge	1	0.475098136776	0.617373319545	0.427790308455	0.286924238604	0.190898179533	0.193490361246	0.444236177193
flickr8k	3	3478	399	128	1995030	merge	2	0.444277058349	0.606511914544	0.408621201112	0.266506808264	0.172624519259	0.189160614944	0.438207720413
flickr8k	3	3478	373	128	1995030	merge	3	0.456012030347	0.600059265113	0.41096226308	0.27404574046	0.18105980545	0.192204605227	0.442604616802
flickr8k	3	3478	299	128	1615382	inject	1	0.448052433424	0.599274232134	0.412532961831	0.278754238535	0.187108883326	0.188637151304	0.435568091173
flickr8k	3	3478	273	128	1615382	inject	2	0.427789519737	0.576289156626	0.39521818406	0.263950189807	0.173211921018	0.189100226718	0.436095431513
flickr8k	3	3478	281	128	1615382	inject	3	0.423770298279	0.581567578687	0.395087017793	0.262322611245	0.173186234557	0.18408629162	0.425547413055
flickr8k	3	3478	398	256	4248726	merge	1	0.480367327851	0.605020491803	0.414615407988	0.278205133526	0.185408934452	0.192268831707	0.441848229509
flickr8k	3	3478	409	256	4248726	merge	2	0.460274555806	0.59572728202	0.405060820035	0.263615579828	0.171324913727	0.189529187892	0.436481079961
flickr8k	3	3478	367	256	4248726	merge	3	0.468905626015	0.602299318344	0.413467102608	0.274091630083	0.178806160078	0.191815442746	0.439990181636
flickr8k	3	3478	274	256	3620502	inject	1	0.460019355914	0.613158175798	0.424604387731	0.28615984874	0.187971049802	0.189433725457	0.439575123938
flickr8k	3	3478	306	256	3620502	inject	2	0.424695654515	0.578726801038	0.390481063125	0.257185676263	0.168657824213	0.187802048781	0.432577664283
flickr8k	3	3478	297	256	3620502	inject	3	0.461408111883	0.594912527649	0.413246914848	0.278491694064	0.184915131947	0.188980824559	0.439895781106
flickr8k	3	3478	419	512	9542550	merge	1	0.446069527296	0.589817305017	0.401366346608	0.265208024348	0.173145438481	0.194117068244	0.437911307592
flickr8k	3	3478	403	512	9542550	merge	2	0.457727004029	0.597848819839	0.40487943374	0.26817039768	0.176958039278	0.191227661168	0.437340522279
flickr8k	3	3478	378	512	9542550	merge	3	0.471220518553	0.603958416633	0.413819720627	0.277519555697	0.184777675772	0.191566475207	0.441339215913
flickr8k	3	3478	323	512	8810390	inject	1	0.446280776708	0.589702006892	0.407531995067	0.275280516561	0.184210956943	0.189333497237	0.433549693444
flickr8k	3	3478	285	512	8810390	inject	2	0.420450238644	0.584249628529	0.401545470641	0.265349627787	0.171823578857	0.18781800183	0.437616618317
flickr8k	3	3478	288	512	8810390	inject	3	0.450286623071	0.588226972061	0.406136115091	0.274886617837	0.183307877086	0.186105993267	0.430975385611
flickr8k	4	2918	415	128	1779430	merge	1	0.449087506688	0.586029992107	0.394563369991	0.257663777279	0.168964724983	0.189524899976	0.432512086177
flickr8k	4	2918	405	128	1779430	merge	2	0.460190730706	0.605230894973	0.414026337448	0.273452502952	0.177832236203	0.190680256794	0.437573648121
flickr8k	4	2918	381	128	1779430	merge	3	0.458530092296	0.59300753332	0.405523856494	0.269919717881	0.179126662629	0.192053687739	0.441550412859
flickr8k	4	2918	263	128	1471462	inject	1	0.433384065513	0.59523040399	0.410833231218	0.277503126152	0.18302910136	0.184710832981	0.431442183714
flickr8k	4	2918	265	128	1471462	inject	2	0.42486466873	0.588602496979	0.404424615671	0.268430441227	0.177280105269	0.185496992345	0.4376612738
flickr8k	4	2918	249	128	1471462	inject	3	0.436246963431	0.585719441938	0.401490254542	0.268323829271	0.174899168036	0.184666922458	0.432538605326
flickr8k	4	2918	398	256	3818086	merge	1	0.463063860757	0.596127518091	0.405435164299	0.267974500164	0.175718047729	0.191864721644	0.441354094359
flickr8k	4	2918	394	256	3818086	merge	2	0.457791131303	0.586383389667	0.397989445443	0.258581329832	0.168263841195	0.190834290414	0.436951887889
flickr8k	4	2918	407	256	3818086	merge	3	0.44794474967	0.606693413829	0.412164042307	0.268792474759	0.173494864955	0.187941471385	0.436679322516
flickr8k	4	2918	300	256	3333222	inject	1	0.449771541731	0.59971825317	0.415179126298	0.277116254717	0.181781811189	0.18913702048	0.441047515171
flickr8k	4	2918	318	256	3333222	inject	2	0.441804446826	0.585492227979	0.405045961853	0.27239635593	0.180681209756	0.18642375218	0.435631272919
flickr8k	4	2918	295	256	3333222	inject	3	0.462473646501	0.603191048487	0.419980812238	0.28478507133	0.189193602144	0.191683940647	0.442525640065
flickr8k	4	2918	400	512	8681830	merge	1	0.478899544928	0.598760050373	0.406744318533	0.269251539178	0.175265809449	0.193495218299	0.442156205395
flickr8k	4	2918	352	512	8681830	merge	2	0.456566062144	0.582982388974	0.395422229779	0.261936384547	0.173668995411	0.18972243363	0.433804779253
flickr8k	4	2918	396	512	8681830	merge	3	0.471138572707	0.596058635084	0.408977978031	0.272389349183	0.180915070463	0.194851035932	0.444276433059
flickr8k	4	2918	295	512	8236390	inject	1	0.456333477816	0.581856413337	0.404405650469	0.274940633688	0.184553660227	0.190002461902	0.43736470865
flickr8k	4	2918	312	512	8236390	inject	2	0.460763604721	0.598740988933	0.413254006641	0.277299209035	0.182459794353	0.189468128061	0.440328767705
flickr8k	4	2918	282	512	8236390	inject	3	0.453255711266	0.586324417181	0.409117033684	0.278644325118	0.188717718148	0.187586325654	0.432057074021
flickr8k	5	2539	387	128	1633515	merge	1	0.465276627213	0.602689243028	0.412560754101	0.275337626002	0.182361525206	0.192487189969	0.447011823015
flickr8k	5	2539	373	128	1633515	merge	2	0.449995173165	0.600906810727	0.407088364598	0.267933026376	0.174366308839	0.191843117075	0.444807443469
flickr8k	5	2539	362	128	1633515	merge	3	0.463417634892	0.595908686629	0.4098102456	0.272850564572	0.180377503464	0.191041777831	0.44225703495
flickr8k	5	2539	263	128	1374059	inject	1	0.44307231528	0.595026642984	0.409883222087	0.274294223586	0.181298512228	0.182971945724	0.433450202887
flickr8k	5	2539	261	128	1374059	inject	2	0.42154488511	0.580884659626	0.395342240432	0.262674134772	0.171189640138	0.182995538808	0.42610684699
flickr8k	5	2539	280	128	1374059	inject	3	0.429430606937	0.599871859901	0.410911333348	0.272830141334	0.178886757443	0.183947380463	0.431894756338
flickr8k	5	2539	388	256	3526635	merge	1	0.473023803164	0.597028320702	0.411936255791	0.275753762984	0.181783063815	0.190920415846	0.439449179967
flickr8k	5	2539	368	256	3526635	merge	2	0.463219263722	0.596805800509	0.410077572835	0.2728295413	0.179941242579	0.191058939489	0.441500652787
flickr8k	5	2539	420	256	3526635	merge	3	0.451066116777	0.588229600232	0.398258139966	0.258661638104	0.166556893797	0.192783032113	0.437371114484
flickr8k	5	2539	309	256	3138795	inject	1	0.461784923604	0.596105590685	0.413992152203	0.281463717179	0.18615535438	0.18968426719	0.441969703847
flickr8k	5	2539	297	256	3138795	inject	2	0.457224588935	0.585265482284	0.402010465312	0.271033102543	0.18071527442	0.188928412512	0.432591808964
flickr8k	5	2539	266	256	3138795	inject	3	0.447991681943	0.592365028203	0.408007311115	0.276433120715	0.185816714582	0.187338586187	0.434372153673
flickr8k	5	2539	414	512	8099307	merge	1	0.438863582162	0.5901672996	0.398197785327	0.26237291605	0.173845941525	0.189032573313	0.430909918305
flickr8k	5	2539	391	512	8099307	merge	2	0.455194800234	0.611405970255	0.418577309869	0.278689862388	0.18281030119	0.190722833468	0.442563661846
flickr8k	5	2539	394	512	8099307	merge	3	0.460758765958	0.59064783244	0.399937314515	0.26026741007	0.17059342747	0.192505978592	0.438823624736
flickr8k	5	2539	341	512	7847915	inject	1	0.461560284562	0.608997267185	0.423465482533	0.288865319766	0.192357908428	0.189073474795	0.441547043385
flickr8k	5	2539	295	512	7847915	inject	2	0.463280071617	0.602595544656	0.416313006782	0.279605482362	0.184407852462	0.193667746892	0.441626379539
flickr8k	5	2539	336	512	7847915	inject	3	0.466622279289	0.598688193744	0.416442933609	0.28182969522	0.186067697044	0.192437411726	0.442466609897
